Date,Average_daily_temp
1.1.2021,1.6
2.1.2021,1.1
3.1.2021,0.1
4.1.2021,-0.8
5.1.2021,-1.5
6.1.2021,-2.3
7.1.2021,-3.1
8.1.2021,-4.6
9.1.2021,-10.3
10.1.2021,-12.7
11.1.2021,-12.0
12.1.2021,-11.6
13.1.2021,-13.3
14.1.2021,-13.7
15.1.2021,-15.7
16.1.2021,-15.0
17.1.2021,-9.4
18.1.2021,-6.1
19.1.2021,-5.1
20.1.2021,-5.1
21.1.2021,-9.1
22.1.2021,-4.6
23.1.2021,1.7
24.1.2021,2.0
25.1.2021,3.4
26.1.2021,2.8
27.1.2021,1.7
28.1.2021,1.5
29.1.2021,-0.1
30.1.2021,-0.4
31.1.2021,-3.0
1.2.2021,-3.1
2.2.2021,-3.5
3.2.2021,-4.4
4.2.2021,-11.8
5.2.2021,-15.5
6.2.2021,-12.6
7.2.2021,-11.0
8.2.2021,-11.8
9.2.2021,-14.3
10.2.2021,-15.9
11.2.2021,-12.5
12.2.2021,-14.8
13.2.2021,-13.1
14.2.2021,-8.4
15.2.2021,-14.2
16.2.2021,-7.3
17.2.2021,-13.3
18.2.2021,-18.3
19.2.2021,-11.5
20.2.2021,-7.9
21.2.2021,-6.5
22.2.2021,-11.4
23.2.2021,-15.0
24.2.2021,-7.0
25.2.2021,2.4
26.2.2021,2.4
27.2.2021,1.9
28.2.2021,1.0
1.3.2021,1.6
2.3.2021,2.6
3.3.2021,0.8
4.3.2021,-1.3
5.3.2021,-4.7
6.3.2021,-4.6
7.3.2021,-3.8
8.3.2021,-6.7
9.3.2021,-13.0
10.3.2021,-14.1
11.3.2021,-9.5
12.3.2021,-4.5
13.3.2021,2.4
14.3.2021,2.8
15.3.2021,1.9
16.3.2021,0.7
17.3.2021,-0.1
18.3.2021,-1.3
19.3.2021,-5.7
20.3.2021,-6.1
21.3.2021,-0.3
22.3.2021,0.2
23.3.2021,-1.5
24.3.2021,5.2
25.3.2021,4.4
26.3.2021,2.3
27.3.2021,5.0
28.3.2021,7.2
29.3.2021,6.9
30.3.2021,6.3
31.3.2021,2.4
1.4.2021,2.6
2.4.2021,2.7
3.4.2021,1.8
4.4.2021,2.9
5.4.2021,5.4
6.4.2021,1.7
7.4.2021,3.4
8.4.2021,1.1
9.4.2021,3.4
10.4.2021,5.1
11.4.2021,6.0
12.4.2021,13.0
13.4.2021,10.2
14.4.2021,4.7
15.4.2021,5.8
16.4.2021,7.8
17.4.2021,10.0
18.4.2021,10.3
19.4.2021,8.8
20.4.2021,8.8
21.4.2021,5.6
22.4.2021,7.1
23.4.2021,7.4
24.4.2021,4.7
25.4.2021,3.7
26.4.2021,4.4
27.4.2021,4.3
28.4.2021,3.2
29.4.2021,5.0
30.4.2021,6.3
1.5.2021,5.8
2.5.2021,6.5
3.5.2021,4.4
4.5.2021,2.3
5.5.2021,4.1
6.5.2021,5.8
7.5.2021,6.2
8.5.2021,4.8
9.5.2021,7.8
10.5.2021,12.5
11.5.2021,19.7
12.5.2021,21.5
13.5.2021,20.3
14.5.2021,17.2
15.5.2021,18.7
16.5.2021,15.4
17.5.2021,18.7
18.5.2021,18.8
19.5.2021,21.1
20.5.2021,14.9
21.5.2021,11.7
22.5.2021,12.4
